Entity,Superclass(es),http://purl.org/dc/elements/1.1/title,http://www.w3.org/2000/01/rdf-schema#comment,
http://purl.org/ozo/onz-fin#FinancieringsstroomWlz,http://purl.org/ozo/onz-fin#FinancieringsstroomZorg,,,
http://purl.org/ozo/onz-fin#FinancieringsstroomWmo,http://purl.org/ozo/onz-fin#FinancieringsstroomZorg,,,
http://purl.org/ozo/onz-fin#FinancieringsstroomZorg,http://purl.org/ozo/onz-g#FinancialAdministrativeObject,,,
http://purl.org/ozo/onz-fin#FinancieringsstroomZvw,http://purl.org/ozo/onz-fin#FinancieringsstroomZorg,,,
http://purl.org/ozo/onz-fin#Grootboek,http://purl.org/ozo/onz-g#FinancialInformationObject,,,
http://purl.org/ozo/onz-fin#Grootboekpost,http://purl.org/ozo/onz-g#FinancialInformationObject,,,
http://purl.org/ozo/onz-fin#Grootboekrekening,http://purl.org/ozo/onz-g#FinancialInformationObject,,,
http://purl.org/ozo/onz-fin#Grootboekrekeningnummer,http://purl.org/ozo/onz-g#IdentifierInformationObject,,,
http://purl.org/ozo/onz-fin#Grootboekrekeningschema,http://purl.org/ozo/onz-g#List,,,
http://purl.org/ozo/onz-fin#Grootboekrubriek,http://purl.org/ozo/onz-g#FinancialInformationObject,,,
http://purl.org/ozo/onz-fin#Kostendrager,http://purl.org/ozo/onz-g#FinancialAdministrativeObject,,,
http://purl.org/ozo/onz-fin#Kostendragernummer,http://purl.org/ozo/onz-g#IdentifierInformationObject,,,
http://purl.org/ozo/onz-fin#Kostenplaats,http://purl.org/ozo/onz-g#FinancialAdministrativeObject,,,
http://purl.org/ozo/onz-fin#Kostenplaatsnummer,http://purl.org/ozo/onz-g#IdentifierInformationObject,,,
http://purl.org/ozo/onz-g#FinancialAdministrativeObject,http://www.w3.org/2002/07/owl#Thing,,,
http://purl.org/ozo/onz-g#FinancialEntity,http://www.w3.org/2002/07/owl#Thing,,,
http://purl.org/ozo/onz-g#FinancialInformationObject,http://www.w3.org/2002/07/owl#Thing,,,
http://purl.org/ozo/onz-g#IdentifierInformationObject,http://www.w3.org/2002/07/owl#Thing,,,
http://purl.org/ozo/onz-g#List,http://www.w3.org/2002/07/owl#Thing,,,
